contact_id,account_id,full_name,title,buying_role,email_open_rate,email_reply_count_90d,demo_requested,linkedin_engaged,avg_intent_score,icp_fit_score,trigger_event,existing_customer,contact_converted,true_conversion_prob,funnel_stage,funnel_stage_label
CON-0000022,ACC-004786,Daniel Aguilar,Contracts Manager,user_buyer,0.275,0,False,False,0.8300000000000001,0.386,leadership_change,False,0,0.1595,0,MQL
CON-0000023,ACC-003193,Jasmine Parrish,Paralegal,user_buyer,0.463,1,False,False,1.0,0.869,none,True,1,0.614,2,Opportunity
CON-0000024,ACC-001644,Bridget Clark,Legal Ops Manager,champion,0.219,0,False,False,0.11,0.924,funding_round,False,0,0.1378,0,MQL
CON-0000025,ACC-000667,Stacy Roberts,Chief Legal Officer,economic_buyer,0.416,0,False,False,0.41500000000000004,0.906,compliance_mandate,False,1,0.7893,2,Opportunity
CON-0000026,ACC-001568,Jeffrey Davis,VP Finance,economic_buyer,0.057,1,False,False,0.495,0.315,none,False,0,0.5127,1,SQL
CON-0000027,ACC-000935,Jennifer Vega,Contracts Manager,user_buyer,0.361,1,False,False,0.8640000000000001,0.682,none,True,1,0.719,2,Opportunity
CON-0000028,ACC-001140,Kevin Stewart,VP Finance,economic_buyer,0.421,0,False,False,0.0,0.701,none,False,0,0.2135,0,MQL
CON-0000029,ACC-001941,Garrett Hodges,IT Security Manager,technical_validator,0.422,1,False,False,0.5499999999999999,0.612,none,False,0,0.4175,1,SQL
CON-0000030,ACC-000723,Joel Nelson,Paralegal,user_buyer,0.14,1,True,False,0.6633333333333334,0.423,tech_refresh,False,0,0.2267,0,MQL
CON-0000031,ACC-004956,Maria Lucas,Legal Ops Manager,champion,0.293,1,False,False,1.0,0.4,none,True,0,0.8272,2,Opportunity
CON-0000032,ACC-003531,John Zamora,Sales Rep,user_buyer,0.728,1,False,False,0.7733333333333334,0.511,compliance_mandate,False,0,0.6616,2,Opportunity
CON-0000033,ACC-000931,Kimberly Ward,CISO,technical_validator,0.221,0,False,False,0.8300000000000001,0.659,none,True,1,0.6618,2,Opportunity
CON-0000034,ACC-003019,Jeffrey Dixon,VP Engineering,technical_validator,0.149,0,True,True,0.22,0.778,none,False,1,0.0568,0,MQL
CON-0000035,ACC-003513,Mary Dickerson,Legal Ops Manager,champion,0.17,2,False,False,0.5775,0.484,none,False,0,0.2542,1,SQL
CON-0000036,ACC-001747,Heather Smith,Chief Legal Officer,economic_buyer,0.423,0,False,False,0.5700000000000001,0.859,tech_refresh,False,0,0.1768,0,MQL
CON-0000037,ACC-001635,Shane Christensen,VP Procurement,economic_buyer,0.202,2,False,False,0.33,0.574,none,False,0,0.4998,1,SQL
CON-0000038,ACC-003956,Curtis Kennedy,VP Engineering,technical_validator,0.166,0,False,False,0.165,0.697,none,True,0,0.2411,1,SQL
CON-0000039,ACC-003411,Charles Campbell,CFO,economic_buyer,0.279,0,False,False,0.532,0.325,none,False,1,0.224,0,MQL
CON-0000040,ACC-002145,Joseph Davenport,CFO,economic_buyer,0.161,0,True,False,0.44,0.77,none,False,0,0.4692,1,SQL
CON-0000041,ACC-002327,Stacy Schwartz,Head of Sales Ops,champion,0.095,2,False,True,0.38833333333333336,0.923,funding_round,True,1,0.4473,1,SQL
CON-0000042,ACC-001433,Kendra Buchanan,Paralegal,user_buyer,0.461,1,False,False,0.5980000000000001,0.879,none,False,1,0.7096,2,Opportunity
CON-0000043,ACC-004196,Tina Rowe,CISO,technical_validator,0.65,1,False,False,0.22,0.692,none,False,0,0.4296,1,SQL
CON-0000044,ACC-001210,Joe Lee,Paralegal,user_buyer,0.551,1,False,False,0.6633333333333334,0.822,none,False,1,0.5237,1,SQL
CON-0000045,ACC-000508,Kenneth Thompson,Sales Rep,user_buyer,0.129,0,False,False,0.33142857142857146,0.681,none,False,0,0.1446,0,MQL
CON-0000046,ACC-003093,Brittney Dominguez,IT Security Manager,technical_validator,0.333,2,False,False,0.5980000000000001,0.442,leadership_change,False,1,0.3322,1,SQL
CON-0000047,ACC-003921,Melinda Hall,Paralegal,user_buyer,0.323,1,False,True,0.5980000000000001,0.449,none,False,0,0.4056,1,SQL
CON-0000048,ACC-002206,Aaron Hardy,VP Procurement,economic_buyer,0.476,3,False,True,0.6633333333333334,0.94,none,True,1,0.7849,2,Opportunity
CON-0000049,ACC-000712,Karen Liu,Contracts Manager,user_buyer,0.296,0,True,True,0.495,0.677,none,True,0,0.382,1,SQL
CON-0000050,ACC-002117,Steve Ramos,Paralegal,user_buyer,0.341,2,False,False,0.932,0.944,funding_round,False,1,0.5658,1,SQL
CON-0000051,ACC-004022,Erica Lewis,VP Finance,economic_buyer,0.004,2,False,True,0.7114285714285715,0.647,none,True,0,0.7298,2,Opportunity
CON-0000052,ACC-000862,Andrew Lynch,Contracts Manager,user_buyer,0.79,2,False,True,1.0,0.562,none,True,1,0.914,3,Closed-Won
CON-0000053,ACC-004102,Joshua Snyder,VP Finance,economic_buyer,0.17,0,False,False,0.41500000000000004,0.846,funding_round,False,0,0.2237,0,MQL
CON-0000054,ACC-000817,Molly Brown,Legal Ops Manager,champion,0.326,1,False,False,0.44,0.682,none,False,1,0.5648,1,SQL
CON-0000055,ACC-000210,Robert Chapman,VP Finance,economic_buyer,0.429,3,False,False,0.8325,0.554,none,False,1,0.5109,1,SQL
CON-0000056,ACC-004835,Danielle Flores,Paralegal,user_buyer,0.25,2,False,False,0.66,0.761,none,True,1,0.346,1,SQL
CON-0000057,ACC-001620,Adam Scott II,Director of Operations,champion,0.447,1,False,False,0.49750000000000005,0.486,funding_round,False,0,0.4366,1,SQL
CON-0000058,ACC-003122,Elizabeth Bentley,Director of Operations,champion,0.498,0,True,False,0.5,0.868,funding_round,False,1,0.4382,1,SQL
CON-0000059,ACC-001840,Tina Blair,HR Coordinator,user_buyer,0.307,2,False,False,0.33,0.997,leadership_change,True,1,0.566,1,SQL
CON-0000060,ACC-003250,Donald Rogers,Legal Ops Manager,champion,0.115,2,False,True,0.7766666666666667,0.6,funding_round,False,0,0.5376,1,SQL
CON-0000061,ACC-002842,Priscilla Mueller,Sales Rep,user_buyer,0.406,2,True,False,0.665,0.727,none,False,0,0.3675,1,SQL
CON-0000062,ACC-000842,Thomas Yang,VP Engineering,technical_validator,0.433,1,False,False,0.5,0.953,compliance_mandate,False,1,0.5171,1,SQL
CON-0000063,ACC-003152,April Smith,Paralegal,user_buyer,0.48,1,False,True,0.732,0.959,funding_round,False,0,0.2578,1,SQL
CON-0000064,ACC-000987,Mark Johnson,VP Engineering,technical_validator,0.534,1,False,False,0.165,1.0,none,False,1,0.5687,1,SQL
CON-0000065,ACC-004975,Samuel Hanson,Legal Ops Manager,champion,0.267,0,False,False,0.495,0.466,none,True,1,0.4973,1,SQL
CON-0000066,ACC-003419,Vincent Long,Contracts Manager,user_buyer,0.208,1,False,True,0.61,0.679,none,False,0,0.5315,1,SQL
CON-0000067,ACC-003940,Kristen Craig,IT Security Manager,technical_validator,0.181,0,True,False,0.6633333333333334,1.0,compliance_mandate,False,0,0.2366,1,SQL
CON-0000068,ACC-000733,Samuel Evans,Legal Ops Manager,champion,0.302,0,False,False,0.33,0.636,none,False,1,0.1352,0,MQL
CON-0000069,ACC-004884,Joshua Foster,VP Engineering,technical_validator,0.398,2,False,False,0.6633333333333333,0.277,leadership_change,False,1,0.5836,1,SQL
CON-0000070,ACC-004767,Kayla Hinton,VP Procurement,economic_buyer,0.432,1,False,False,0.5533333333333333,0.654,none,False,0,0.2009,0,MQL
CON-0000071,ACC-000961,Brandon Lowe,Sales Rep,user_buyer,0.45,0,False,True,0.7100000000000001,0.663,leadership_change,False,1,0.3408,1,SQL
CON-0000072,ACC-000867,Lisa Fry,Sales Rep,user_buyer,0.224,3,False,True,0.55,0.453,none,False,1,0.3266,1,SQL
CON-0000073,ACC-004445,Mr. Travis Frye,Sales Rep,user_buyer,0.122,1,False,False,0.665,0.973,none,False,1,0.6917,2,Opportunity
CON-0000074,ACC-003058,Linda Fowler,Paralegal,user_buyer,0.389,1,False,False,0.8300000000000001,0.652,none,False,1,0.6141,2,Opportunity
CON-0000075,ACC-002768,Tammy Nichols,Contracts Manager,user_buyer,0.572,1,False,False,0.7183333333333334,0.472,leadership_change,False,1,0.4796,1,SQL
CON-0000076,ACC-001815,Laurie Sanchez,CFO,economic_buyer,0.646,3,False,True,0.915,0.466,leadership_change,False,1,0.8709,2,Opportunity
CON-0000077,ACC-004880,Eric Frey,Contracts Manager,user_buyer,0.11,3,False,False,0.0,0.533,none,True,0,0.0847,0,MQL
CON-0000078,ACC-004196,Amy Nguyen,IT Security Manager,technical_validator,0.317,2,False,False,0.74875,0.692,none,False,1,0.4278,1,SQL
CON-0000079,ACC-000522,Robert Wiley,Sales Rep,user_buyer,0.567,2,False,False,0.8300000000000001,0.37,leadership_change,False,1,0.7872,2,Opportunity
CON-0000080,ACC-000759,Noah Rodriguez,Sales Rep,user_buyer,0.821,3,False,False,0.8300000000000001,0.439,none,False,1,0.6115,2,Opportunity
CON-0000081,ACC-004108,Barbara Larson,VP Engineering,technical_validator,0.589,0,False,False,0.7300000000000001,0.505,leadership_change,False,1,0.6772,2,Opportunity
CON-0000082,ACC-000557,Kristen Gonzalez,HR Coordinator,user_buyer,0.115,1,False,False,0.5800000000000001,0.969,none,True,0,0.4052,1,SQL
CON-0000083,ACC-004467,Joe Miller,CFO,economic_buyer,0.096,1,False,True,0.27499999999999997,0.765,none,True,1,0.5166,1,SQL
CON-0000084,ACC-000917,Jason Odonnell,Sales Rep,user_buyer,0.564,0,False,False,0.2475,0.678,none,False,0,0.0577,0,MQL
CON-0000085,ACC-002575,Thomas Carter,Paralegal,user_buyer,0.375,0,False,False,0.2842857142857143,0.621,tech_refresh,False,0,0.0847,0,MQL
CON-0000086,ACC-000275,Karen Anthony,Director of Operations,champion,0.398,2,True,False,0.66,0.575,leadership_change,False,0,0.8956,3,Closed-Won
CON-0000087,ACC-003345,Samuel Yang,Contracts Manager,user_buyer,0.405,2,False,False,0.5775,0.963,none,True,1,0.5321,1,SQL
CON-0000088,ACC-003317,Regina Powell,VP Engineering,technical_validator,0.91,2,False,False,0.6066666666666668,0.394,none,True,0,0.4801,1,SQL
CON-0000089,ACC-004155,Dennis Tran,IT Security Manager,technical_validator,0.06,0,False,True,0.22,0.658,none,False,0,0.0685,0,MQL
CON-0000090,ACC-000345,Douglas Mcguire,Sales Rep,user_buyer,0.359,0,True,False,0.6633333333333334,0.867,none,True,1,0.3651,1,SQL
CON-0000091,ACC-004250,Derrick Weaver,Legal Ops Manager,champion,0.181,2,False,False,0.49750000000000005,0.84,funding_round,False,1,0.513,1,SQL
CON-0000092,ACC-002761,Andrew Estrada,CISO,technical_validator,0.074,2,False,True,0.662,0.703,none,False,0,0.3941,1,SQL
CON-0000093,ACC-003176,Monica Ramos,HR Coordinator,user_buyer,0.793,1,False,True,0.7585714285714287,0.611,tech_refresh,False,0,0.5178,1,SQL
CON-0000094,ACC-002821,Lori Dennis,Sales Rep,user_buyer,0.483,1,False,False,0.7183333333333334,0.24,none,True,1,0.3559,1,SQL
CON-0000095,ACC-003893,Joshua Walker,HR Coordinator,user_buyer,0.162,0,False,True,0.495,0.788,tech_refresh,False,0,0.2406,1,SQL
CON-0000096,ACC-000436,Haley Wallace,CISO,technical_validator,0.547,1,False,False,0.665,0.307,none,False,1,0.2635,1,SQL
CON-0000097,ACC-002408,James Leonard,VP Procurement,economic_buyer,0.414,2,True,True,0.6050000000000001,0.53,leadership_change,True,0,0.3337,1,SQL
CON-0000098,ACC-004497,Micheal Butler,Contracts Manager,user_buyer,0.39,1,False,False,1.0,0.84,none,False,0,0.7364,2,Opportunity
CON-0000099,ACC-000336,Antonio Elliott,VP Finance,economic_buyer,0.175,1,False,True,0.4125,0.503,tech_refresh,False,0,0.4531,1,SQL
CON-0000100,ACC-002232,Olivia Anderson,Head of Sales Ops,champion,0.161,2,False,False,0.7766666666666667,0.57,leadership_change,True,0,0.6622,2,Opportunity
CON-0000101,ACC-001134,Jesse Estrada,Sales Rep,user_buyer,0.618,0,False,True,0.66,0.673,leadership_change,False,0,0.487,1,SQL
CON-0000102,ACC-001948,Samantha Mullins,Legal Ops Manager,champion,0.33,1,False,False,0.6625000000000001,0.948,leadership_change,False,0,0.8041,2,Opportunity
CON-0000103,ACC-001101,Robert Sanders,CISO,technical_validator,0.321,2,False,False,0.915,0.732,leadership_change,True,1,0.7617,2,Opportunity
CON-0000104,ACC-000479,Erin Porter,CFO,economic_buyer,0.227,0,False,False,0.5,0.731,compliance_mandate,False,1,0.5143,1,SQL
CON-0000105,ACC-004185,April Mcintyre,Chief Legal Officer,economic_buyer,0.062,3,False,True,0.33,0.633,leadership_change,False,0,0.4805,1,SQL
CON-0000106,ACC-000219,David Gonzales,CISO,technical_validator,0.718,1,False,False,0.6633333333333334,0.512,funding_round,False,1,0.4102,1,SQL
CON-0000107,ACC-001844,Jennifer Barnett,Paralegal,user_buyer,0.641,0,False,False,1.0,0.508,none,False,1,0.7191,2,Opportunity
CON-0000108,ACC-003365,Christopher Woodward,CISO,technical_validator,0.293,2,False,False,0.665,0.586,none,False,1,0.4585,1,SQL
CON-0000109,ACC-004635,Billy Jefferson,Legal Ops Manager,champion,0.262,1,False,True,0.7733333333333334,0.716,none,True,1,0.8185,2,Opportunity
CON-0000110,ACC-001714,Susan Robinson,Contracts Manager,user_buyer,0.473,3,False,False,0.6633333333333334,0.825,funding_round,False,1,0.6011,2,Opportunity
CON-0000111,ACC-004764,Jade Campbell,Legal Ops Manager,champion,0.2,0,False,True,0.2475,0.79,compliance_mandate,False,0,0.1631,0,MQL
CON-0000112,ACC-004551,Emma Fleming,CFO,economic_buyer,0.521,0,False,False,0.6620000000000001,0.796,none,False,1,0.4122,1,SQL
CON-0000113,ACC-004335,Megan Robles,Director of Operations,champion,0.383,0,True,False,0.44333333333333336,0.861,leadership_change,False,0,0.5211,1,SQL
CON-0000114,ACC-003946,Brett Meadows,HR Coordinator,user_buyer,0.42,0,False,False,0.665,0.357,none,False,1,0.6111,2,Opportunity
CON-0000115,ACC-000101,Logan Christensen,CFO,economic_buyer,0.542,2,False,False,0.8300000000000001,0.874,none,False,1,0.8099,2,Opportunity
CON-0000116,ACC-003334,Scott Lee,Head of Sales Ops,champion,0.781,0,False,False,0.798,0.937,none,False,1,0.7908,2,Opportunity
CON-0000117,ACC-002963,Stephanie Mitchell,Sales Rep,user_buyer,0.084,2,False,False,1.0,0.431,compliance_mandate,False,1,0.7726,2,Opportunity
CON-0000118,ACC-002129,Stephen Howard,Head of Sales Ops,champion,0.792,1,False,False,0.775,0.661,leadership_change,False,1,0.5033,1,SQL
CON-0000119,ACC-004420,Susan Butler,VP Engineering,technical_validator,0.787,0,False,False,0.7280000000000001,0.782,leadership_change,False,1,0.6655,2,Opportunity
CON-0000120,ACC-000349,Daniel Williams,IT Security Manager,technical_validator,0.373,3,False,False,0.8866666666666667,0.321,tech_refresh,False,1,0.7806,2,Opportunity
CON-0000121,ACC-001250,Heidi Hicks,Contracts Manager,user_buyer,0.744,2,False,False,0.66,0.61,leadership_change,False,1,0.5736,1,SQL
CON-0000122,ACC-004017,Stephanie Anderson,Head of Sales Ops,champion,0.237,3,True,False,0.8300000000000001,0.633,leadership_change,False,0,0.5951,1,SQL
CON-0000123,ACC-004884,Christopher Smith,Legal Ops Manager,champion,0.142,2,False,False,0.27666666666666667,0.277,leadership_change,False,0,0.1888,0,MQL
CON-0000124,ACC-003638,Kathleen Cox,CFO,economic_buyer,0.275,1,False,False,0.0,0.501,compliance_mandate,False,0,0.2064,0,MQL
CON-0000125,ACC-000128,Michael Harris,HR Coordinator,user_buyer,0.473,3,False,True,0.7733333333333334,0.838,none,False,1,0.7616,2,Opportunity
CON-0000126,ACC-003837,Eileen Smith,Contracts Manager,user_buyer,0.182,1,False,False,0.5,0.44,compliance_mandate,False,0,0.3377,1,SQL
CON-0000127,ACC-002049,Andrew Cooper,Sales Rep,user_buyer,0.087,1,False,True,0.665,0.631,none,False,1,0.1645,0,MQL
CON-0000128,ACC-002590,Elizabeth Arroyo,Paralegal,user_buyer,0.56,2,False,False,0.66,0.667,none,True,0,0.4853,1,SQL
CON-0000129,ACC-003527,Steven Bryant,VP Procurement,economic_buyer,0.477,0,False,False,0.6633333333333334,0.91,none,False,0,0.6852,2,Opportunity
CON-0000130,ACC-002221,Timothy Flores,Sales Rep,user_buyer,0.219,1,False,True,0.66,0.793,funding_round,False,1,0.2734,1,SQL
CON-0000131,ACC-000938,Ethan Hughes,Contracts Manager,user_buyer,0.53,2,False,False,0.6633333333333333,1.0,funding_round,True,1,0.8879,3,Closed-Won
CON-0000132,ACC-000850,Alejandro Garcia,Contracts Manager,user_buyer,0.378,3,False,False,0.7300000000000001,0.849,none,False,1,0.458,1,SQL
CON-0000133,ACC-000727,Erin Gardner,Sales Rep,user_buyer,0.548,1,False,False,0.7585714285714287,0.886,none,False,1,0.6418,2,Opportunity
CON-0000134,ACC-004936,Kayla Lee,Legal Ops Manager,champion,0.317,1,False,False,0.33166666666666667,0.618,none,False,1,0.4388,1,SQL
CON-0000135,ACC-001231,Eugene Cardenas,Director of Operations,champion,0.399,3,False,False,0.66,0.812,tech_refresh,False,1,0.7047,2,Opportunity
CON-0000136,ACC-001205,Kevin Ferguson,Director of Operations,champion,0.204,1,False,False,0.6358333333333334,0.269,leadership_change,False,1,0.2878,1,SQL
CON-0000137,ACC-001961,Edward Medina,IT Security Manager,technical_validator,0.608,0,False,False,0.7475,0.602,none,False,0,0.5488,1,SQL
CON-0000138,ACC-000553,David Lindsey,IT Security Manager,technical_validator,0.623,0,False,False,1.0,0.749,leadership_change,False,0,0.549,1,SQL
CON-0000139,ACC-000858,Nicholas Morrow,Paralegal,user_buyer,0.419,3,False,True,0.66,0.405,none,False,0,0.741,2,Opportunity
CON-0000140,ACC-000822,Jonathan Brown,Legal Ops Manager,champion,0.403,1,True,False,0.33,0.749,none,False,0,0.3111,1,SQL
CON-0000141,ACC-003405,Tina Miller,VP Procurement,economic_buyer,0.504,2,False,False,0.6083333333333334,0.874,none,False,0,0.4291,1,SQL
CON-0000142,ACC-002651,Kelly Paul,HR Coordinator,user_buyer,0.348,0,False,False,0.8300000000000001,0.803,none,False,0,0.7304,2,Opportunity
CON-0000143,ACC-000008,Michael Forbes,VP Engineering,technical_validator,0.109,1,False,False,0.5960000000000001,0.414,none,True,0,0.2515,1,SQL
CON-0000144,ACC-002716,Clinton Pearson,VP Procurement,economic_buyer,0.5,0,False,True,0.5,0.473,leadership_change,False,0,0.19,0,MQL
CON-0000145,ACC-000243,Luke White,Paralegal,user_buyer,0.336,1,False,False,0.798,1.0,none,False,0,0.2824,1,SQL
CON-0000146,ACC-004115,Patrick Watson,Paralegal,user_buyer,0.479,1,False,False,0.665,0.906,leadership_change,False,0,0.5045,1,SQL
CON-0000147,ACC-001088,Mr. Chad Franklin,IT Security Manager,technical_validator,0.242,2,False,False,0.33,0.796,none,False,0,0.2938,1,SQL
CON-0000148,ACC-002900,Cheryl Carter,IT Security Manager,technical_validator,0.127,1,False,False,0.33,0.688,compliance_mandate,False,0,0.0459,0,MQL
CON-0000149,ACC-003479,Katherine Moore,Paralegal,user_buyer,0.409,0,False,False,0.22,0.471,none,False,1,0.0783,0,MQL
CON-0000150,ACC-001870,Cheryl Davies,IT Security Manager,technical_validator,0.43,0,False,True,0.6633333333333334,0.863,funding_round,False,0,0.4037,1,SQL
CON-0000151,ACC-004285,Jason Levine,CISO,technical_validator,0.636,0,False,False,0.6633333333333334,0.914,none,True,0,0.6364,2,Opportunity
CON-0000152,ACC-003454,Holly Luna,Sales Rep,user_buyer,0.363,1,False,False,0.7766666666666667,0.674,none,False,0,0.6055,2,Opportunity
CON-0000153,ACC-004071,Erin Thompson,VP Procurement,economic_buyer,0.054,2,False,False,0.66,0.553,funding_round,False,0,0.3082,1,SQL
CON-0000154,ACC-000374,Patricia Lopez,Head of Sales Ops,champion,0.115,2,False,False,0.532,0.744,none,False,1,0.4812,1,SQL
CON-0000155,ACC-003691,Jeffery Bryan,HR Coordinator,user_buyer,0.228,2,False,True,0.8300000000000001,0.378,compliance_mandate,False,1,0.2736,1,SQL
CON-0000156,ACC-003388,Troy Alexander,Chief Legal Officer,economic_buyer,0.536,0,False,False,0.5533333333333333,0.188,none,False,0,0.3131,1,SQL
CON-0000157,ACC-000050,Todd Wells,HR Coordinator,user_buyer,0.599,1,False,False,0.665,0.588,none,False,1,0.7452,2,Opportunity
CON-0000158,ACC-002924,Christopher Torres,IT Security Manager,technical_validator,0.363,6,False,True,0.7733333333333334,0.762,compliance_mandate,False,0,0.825,2,Opportunity
CON-0000159,ACC-002742,Annette Weeks,HR Coordinator,user_buyer,0.157,1,True,False,0.44333333333333336,0.381,funding_round,False,0,0.1534,0,MQL
CON-0000160,ACC-002912,Mary Harris,Head of Sales Ops,champion,0.51,0,False,True,0.665,0.778,leadership_change,False,0,0.4211,1,SQL
CON-0000161,ACC-000548,Mark Bailey,VP Engineering,technical_validator,0.471,2,False,False,0.775,0.621,none,False,1,0.5292,1,SQL
CON-0000162,ACC-004396,Sophia Alexander,Legal Ops Manager,champion,0.621,2,False,False,1.0,0.86,funding_round,False,1,0.9085,3,Closed-Won
CON-0000163,ACC-003678,Ryan Boone,Director of Operations,champion,0.573,4,False,False,0.8300000000000001,0.824,funding_round,False,1,0.8793,2,Opportunity
CON-0000164,ACC-003102,Jessica Richard,HR Coordinator,user_buyer,0.497,1,False,False,0.33,0.818,none,False,0,0.0944,0,MQL
CON-0000165,ACC-001663,Matthew Crane,Legal Ops Manager,champion,0.21,1,False,True,0.41250000000000003,0.671,leadership_change,False,0,0.3485,1,SQL
CON-0000166,ACC-002616,Johnathan Wilson,Contracts Manager,user_buyer,0.197,2,True,False,0.4640000000000001,0.512,none,False,0,0.3468,1,SQL
CON-0000167,ACC-003280,Amber Ramirez,Contracts Manager,user_buyer,0.016,1,False,False,0.665,0.457,compliance_mandate,True,1,0.2432,1,SQL
CON-0000168,ACC-000363,Sara Warren,HR Coordinator,user_buyer,0.24,1,False,True,1.0,0.573,none,False,1,0.845,2,Opportunity
CON-0000169,ACC-004058,Kevin Zhang,Head of Sales Ops,champion,0.508,0,True,False,0.3333333333333333,0.813,tech_refresh,False,1,0.626,2,Opportunity
CON-0000170,ACC-000752,Christopher Hunter,HR Coordinator,user_buyer,0.447,3,False,True,0.79,0.194,tech_refresh,True,1,0.7446,2,Opportunity
CON-0000171,ACC-003003,Melissa Hughes,Head of Sales Ops,champion,0.697,0,False,False,0.8883333333333333,0.647,none,False,1,0.5712,1,SQL
CON-0000172,ACC-004130,Carl Johnson,Sales Rep,user_buyer,0.654,1,False,False,1.0,0.747,none,False,1,0.814,2,Opportunity
CON-0000173,ACC-004687,Marie Abbott MD,CFO,economic_buyer,0.165,1,False,False,0.532,0.646,none,False,0,0.3667,1,SQL
CON-0000174,ACC-001268,Alex Weaver,HR Coordinator,user_buyer,0.696,3,False,True,0.932,0.889,none,False,1,0.7265,2,Opportunity
CON-0000175,ACC-000414,Jillian Vega,Sales Rep,user_buyer,0.275,4,False,False,0.66,0.774,none,False,0,0.5579,1,SQL
CON-0000176,ACC-004597,Kristen Ball,Head of Sales Ops,champion,0.332,0,False,False,0.33,0.734,none,False,0,0.1532,0,MQL
CON-0000177,ACC-004598,Sheri Moore,Legal Ops Manager,champion,0.643,1,False,False,0.8300000000000001,0.492,none,False,1,0.3016,1,SQL
CON-0000178,ACC-001005,Kyle Quinn,Contracts Manager,user_buyer,0.308,2,True,True,0.33,1.0,none,False,0,0.1543,0,MQL
CON-0000179,ACC-000952,Lisa Williams,Legal Ops Manager,champion,0.265,1,False,True,0.8640000000000001,0.997,none,False,1,0.6905,2,Opportunity
CON-0000180,ACC-002117,Amanda Smith,Sales Rep,user_buyer,0.498,1,False,False,0.8866666666666667,0.944,funding_round,False,1,0.6443,2,Opportunity
CON-0000181,ACC-002869,Kevin Terrell,Head of Sales Ops,champion,0.25,3,True,False,0.8325,0.59,funding_round,True,1,0.8718,2,Opportunity
CON-0000182,ACC-002012,Rachel Anderson,HR Coordinator,user_buyer,0.175,2,False,True,0.398,0.935,funding_round,False,0,0.5215,1,SQL
